	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
680	sub-001	EEG Fpz-Cz	0.024469465648854962	0.023	SleepCasset	N2	0.06316999999999996	0.009
681	sub-001	EEG Fpz-Cz	0.017	0.017	SleepCasset	W	0.156	0.008
682	sub-001	EEG Fpz-Cz	0.059728682170542634	0.059	SleepCasset	R	0.099	0.02028
683	sub-001	EEG Fpz-Cz	0.2252758620689655	0.2245	SleepCasset	N1	0.40748	0.05609
684	sub-001	EEG Pz-Oz	0.0354351145038168	0.031	SleepCasset	N2	0.11264999999999953	0.01261
685	sub-001	EEG Pz-Oz	0.106	0.106	SleepCasset	W	0.44	0.026
686	sub-001	EEG Pz-Oz	0.14384496124031007	0.137	SleepCasset	R	0.30639999999999995	0.03296
687	sub-001	EEG Pz-Oz	0.25231034482758624	0.2445	SleepCasset	N1	0.43166	0.10568000000000001
688	sub-002	EEG Fpz-Cz	0.030012165450121656	0.028	SleepCasset	N2	0.07179999999999995	0.011
689	sub-002	EEG Fpz-Cz	0.031	0.031	SleepCasset	W	0.17545000000000027	0.015
690	sub-002	EEG Fpz-Cz	0.06773931623931626	0.0655	SleepCasset	R	0.13166999999999998	0.031
691	sub-002	EEG Fpz-Cz	0.22159322033898304	0.222	SleepCasset	N1	0.39568000000000003	0.06616
692	sub-002	EEG Pz-Oz	0.04294403892944038	0.039	SleepCasset	N2	0.10989999999999998	0.016
693	sub-002	EEG Pz-Oz	0.122	0.122	SleepCasset	W	0.5088000000000011	0.041
694	sub-002	EEG Pz-Oz	0.15453418803418803	0.15	SleepCasset	R	0.32667	0.04466
695	sub-002	EEG Pz-Oz	0.23859322033898306	0.239	SleepCasset	N1	0.40741999999999995	0.041319999999999996
696	sub-003	EEG Fpz-Cz	0.02919342359767892	0.027	SleepCasset	N2	0.0703599999999999	0.009
697	sub-003	EEG Fpz-Cz	0.008	0.008	SleepCasset	W	0.04901999999999998	0.002
698	sub-003	EEG Fpz-Cz	0.031231638418079098	0.03	SleepCasset	R	0.06336000000000012	0.010759999999999999
699	sub-003	EEG Fpz-Cz	0.10827522935779813	0.113	SleepCasset	N1	0.20904	0.014320000000000001
700	sub-003	EEG Pz-Oz	0.05045067698259189	0.048	SleepCasset	N2	0.116	0.01916
701	sub-003	EEG Pz-Oz	0.121	0.121	SleepCasset	W	0.5540999999999999	0.026
702	sub-003	EEG Pz-Oz	0.07561016949152542	0.07	SleepCasset	R	0.20392000000000007	0.02928
703	sub-003	EEG Pz-Oz	0.14222018348623855	0.151	SleepCasset	N1	0.26852000000000004	0.0118
