	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
680	sub-001	EEG Fpz-Cz	0.8254503816793893	0.837	SleepCasset	N2	0.93039	0.60466
681	sub-001	EEG Fpz-Cz	0.8437286282306162	0.859	SleepCasset	W	0.935	0.43677
682	sub-001	EEG Fpz-Cz	0.6746744186046513	0.671	SleepCasset	R	0.8956	0.4586
683	sub-001	EEG Fpz-Cz	0.6528448275862068	0.656	SleepCasset	N1	0.89208	0.42021000000000003
684	sub-001	EEG Pz-Oz	0.7909580152671756	0.801	SleepCasset	N2	0.91078	0.54488
685	sub-001	EEG Pz-Oz	0.537589463220676	0.537	SleepCasset	W	0.8906699999999996	0.24811
686	sub-001	EEG Pz-Oz	0.6053798449612403	0.602	SleepCasset	R	0.8849199999999999	0.40868
687	sub-001	EEG Pz-Oz	0.5729655172413792	0.588	SleepCasset	N1	0.8202	0.30101
688	sub-002	EEG Fpz-Cz	0.7981021897810219	0.807	SleepCasset	N2	0.9147	0.5648
689	sub-002	EEG Fpz-Cz	0.7524289501590669	0.779	SleepCasset	W	0.888	0.3175
690	sub-002	EEG Fpz-Cz	0.6328760683760685	0.6305000000000001	SleepCasset	R	0.8080599999999998	0.44326
691	sub-002	EEG Fpz-Cz	0.6537118644067795	0.65	SleepCasset	N1	0.8311999999999999	0.42132
692	sub-002	EEG Pz-Oz	0.7523430656934307	0.768	SleepCasset	N2	0.886	0.5234
693	sub-002	EEG Pz-Oz	0.49786691410392364	0.492	SleepCasset	W	0.8576000000000004	0.19870000000000002
694	sub-002	EEG Pz-Oz	0.5619615384615384	0.568	SleepCasset	R	0.7868499999999994	0.32365
695	sub-002	EEG Pz-Oz	0.6331694915254237	0.63	SleepCasset	N1	0.9038800000000001	0.37594
696	sub-003	EEG Fpz-Cz	0.8230657640232107	0.828	SleepCasset	N2	0.93	0.65664
697	sub-003	EEG Fpz-Cz	0.9243391258557135	0.93	SleepCasset	W	0.98	0.76688
698	sub-003	EEG Fpz-Cz	0.7826892655367231	0.773	SleepCasset	R	0.9289200000000001	0.63556
699	sub-003	EEG Fpz-Cz	0.8064036697247706	0.791	SleepCasset	N1	0.9742	0.67664
700	sub-003	EEG Pz-Oz	0.7204835589941974	0.732	SleepCasset	N2	0.8736799999999999	0.51032
